23806,27751,11481,9653.3,11743,3445.5,19997,22661,3507.6,16699,54906,9747.2,14005,2693.1,18049,6904.5,37123,34022,19407,2485.8,2331.6,6030.8,23206,46355,16543,32909,17504,2810.8,12754,23654,1072.6,26001,9383,12798,13562,20991,18852,25469,11008,4676.3,14791,9678.1,763.41,25905,19488,13423,7435.3,29864,14184,3441.9,17736,14185,13879,3966.3,4630.2,17729,15714,32566,24104,31004,19598,9237.1,8711.2,14231,12837,8787.7,19939,29539
9184,8281,6537.2,15640,5596.4,3264.5,5440.9,12958,389.87,17225,40848,7551.8,11318,26065,13510,9254.8,17902,14005,5289.5,174.4,1558.1,24880,8520.4,27148,9198.4,23786,12389,3626.8,3910.3,14867,16016,11076,12806,17720,9987.9,10581,8028.5,2733.9,6585.4,234.08,25662,2670.2,1390.9,11645,4192.2,1333,20153,17760,8865.9,2437,710.79,24997,6249.6,3109.7,370.75,12763,8254,32619,8621.4,27535,6951.8,1233.3,3784.8,11118,6358.5,1254.2,14032,7057
7217.6,4119.3,35988,4219.1,8827.9,15777,2542.9,9799.6,5256.8,30691,27482,324.98,16257,2383.5,33075,6187.3,32494,1004.1,1817.3,1760.4,846.29,6152.4,29590,44366,42449,15270,24149,13605,18940,9273.7,1077.1,19639,16486,3832.6,14589,11614,42911,3120.4,8411.8,11875,6938.4,8413.7,5536.6,22812,13050,204.01,27068,11396,26572,19159,36841,3540.7,33040,11883,13516,2482.4,38641,43110,43702,14911,39549,25903,47815,10521,16581,10154,1573.4,30713
42035,12553,7356.7,3173.7,4524.3,2218.9,36458,34457,2806,17958,30700,2137.1,10331,33299,8905.9,22085,7857.2,38457,2251.6,660.76,5749.4,3323.5,15162,25813,22462,34442,13723,1739.4,5611.8,33481,22886,33613,8174.8,35234,2363.5,10860,4793.2,29407,7021.8,858.63,6738.3,11618,1517.2,4096.5,26227,9941.8,5988.7,9416.9,7890.8,4789,9827.2,9266.6,4146.9,1013.7,1620.2,33084,5961.7,23118,9936.5,10989,10117,2212.5,3379.3,11123,2621.9,13351,4558,5573.1
22473,29210,2952,27751,5942.3,2505,8148,38221,2758.5,24491,46724,5880,30833,2921.8,42713,14050,2865.7,3662.2,9878.7,5821.3,1509.5,4533.2,34532,60289,21936,1820.4,40652,7579.9,4058.4,7143.6,10455,16453,12936,22920,6599.9,8636.5,15530,23377,24658,6376.1,32204,26531,25999,9469.6,49135,3843.9,20076,26955,30339,14012,5570.5,38724,3459.5,5962.9,2378.4,17693,24328,41077,18268,67366,41457,3057.7,5814.5,6636,7881.2,23879,13445,31996
3408.2,14845,9817.2,34504,18221,6565.5,10593,4259.4,520.18,10724,4683,5724.9,10808,10342,15359,5329.1,17997,18370,7757.3,4421.6,3127.6,25128,22458,17719,21208,28117,11529,4514.9,12474,15230,9036.2,6713.8,9767.4,8662.6,8706.4,17532,19969,12133,516.09,3766.1,21516,7898.1,9276.9,20833,23805,3632.1,18197,32298,16540,2078.4,41333,21792,12001,8481.5,1042.8,14038,32044,37028,34018,46372,3434.6,7875.1,11631,31410,2903.1,20511,13972,13620
7944.6,5424.1,1690.5,18652,3251.6,2489.7,1497.4,1870,2599.4,5178.2,2130.9,3227,2283.5,8806,1694.6,5401.4,7376.9,1536.2,7384.9,2258.7,458.42,16261,7154.6,2795.1,5569,3096.8,6218.7,2741.3,4183.3,12382,8711.9,11033,3716.7,11338,2434.6,511.77,4663.4,9231.9,2454,423.87,2338.7,3978.3,1519.7,284.17,4011.9,325.69,1260,3155,1386,3734.7,792.85,1391.1,1469.5,1145.7,1252.1,3267.1,9232.8,2478,6670.3,123,3138.1,1414.5,1499.1,3700.5,3134.1,4358.4,1980.9,5250.6
11158,14240,8039.9,9580.6,17512,1427.5,3771,3014.9,11592,14403,20209,862.46,7158.7,2501.2,7778.6,2838.4,10643,451,1132.9,1826.9,1900,2263.8,5796.4,12749,8270.1,23212,7566.8,3544.2,2382.9,15837,15441,14602,10240,18711,21928,15110,7561.1,8849.6,7331.9,1427.8,16593,3391.5,10575,8532.9,17919,798.68,5720,10001,8298.7,6046.2,4405.9,4129.9,2907.6,1226.1,1821.2,4971,7237.3,11984,7114.3,13342,8119.6,4537.8,4968.1,10161,4553.3,5408.2,3902.6,11735
4137,19489,19689,4194,6243.6,2111.4,855.19,5068.8,2142.9,6326.6,7287.8,518.33,10478,5664.1,20200,1336.4,16067,818.43,5570.3,4014.9,4713.4,5847.5,7640.9,3362.7,13633,11272,19730,7991.5,20161,8855.2,4431.1,5981.6,5705,7521,2426.2,20629,15133,7828.3,729.23,2859.7,6544.4,6074.2,2824,11211,8947.7,556.2,10399,6371.3,8681.6,3109.6,11613,8088.5,8999.4,782.74,2851.3,4554.3,8631.4,16344,13235,10051,18331,6817.2,30449,10085,91.339,9374.3,2193.2,5648.3
11875,14398,8442.4,4129,3122.6,3237.2,27667,814,5482.2,18505,33726,2302.8,12276,24460,16589,4304,12975,7017.2,1487.6,2135.4,1085.2,18115,11212,18605,13585,21536,3636.2,4248.6,7770,18451,11494,9000.2,7012.3,23399,2539.4,9257.8,7340.2,3317.2,14347,5257.1,26946,6207.3,21405,13508,16677,559.47,11684,24140,12716,14604,21626,28028,4425.6,406.64,878.89,7416.4,5567.6,15605,8925.7,14648,7928.8,5319.6,5608.7,7665,9441.9,9427.7,9084.2,106.41
